"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"66491.200792";"Altitude (GPS)";"247.3";"m";"46.5931219";"-72.8742704";
"66491.200792";"Speed (GPS)";"45.1888";"km/h";"46.5931219";"-72.8742704";
"66491.5009467";"Engine RPM";"2107";"rpm";"46.5931219";"-72.8742704";
"66491.5009467";"Engine RPM x1000";"2.1";"rpm";"46.5931219";"-72.8742704";
"66491.5902872";"Vehicle acceleration";"0.0002460584072285671";"g";"46.5931219";"-72.8742704";
"66491.5902872";"Vehicle speed";"43";"km/h";"46.5931219";"-72.8742704";
"66491.6799654";"Relative throttle position";"3.1372549019607843";"%";"46.5931219";"-72.8742704";
"66491.7713753";"Timing advance";"-10";"°";"46.5931219";"-72.8742704";
"66491.8593852";"Calculated engine load value";"0";"%";"46.5931219";"-72.8742704";
"66491.94974";"MAF air flow rate";"4.5200000000000005";"g/sec";"46.5931219";"-72.8742704";
"66491.94974";"Power from MAF";"5.424";"hp";"46.5931219";"-72.8742704";
"66492.0418812";"Calculated boost";"-0.78";"bar";"46.5931219";"-72.8742704";
"66492.0418812";"Intake manifold absolute pressure";"20";"kPa";"46.5931219";"-72.8742704";
"66492.056611";"Altitude (GPS)";"247.1";"m";"46.5932246";"-72.8743179";
"66492.056611";"Average speed (GPS)";"42.96640000000001";"km/h";"46.5932246";"-72.8743179";
"66492.056611";"Speed (GPS)";"42.96640000000001";"km/h";"46.5932246";"-72.8743179";
"66492.1912197";"Actual Gear Ratio";"1.1875181200885023";"";"46.5932246";"-72.8743179";
"66492.2800811";"Target Gear Ratio";"0.003906309605554284";"";"46.5932246";"-72.8743179";
"66492.4287627";"[ABS] Front left wheel speed";"35.26875";"km/h";"46.5932246";"-72.8743179";
"66492.5214704";"[ABS] Front right wheel speed";"34.81875";"km/h";"46.5932246";"-72.8743179";
"66492.6104287";"[ABS] Rear left wheel speed";"34.25625";"km/h";"46.5932246";"-72.8743179";
"66492.6997932";"[ABS] Rear right wheel speed";"33.8625";"km/h";"46.5932246";"-72.8743179";
"66492.7916384";"[ABS] Steering angle sensor";"2";"°";"46.5932246";"-72.8743179";
"66492.9395961";"AT/CVT Temperature v.1";"78";"℃";"46.5932246";"-72.8743179";
"66493.0293982";"Primary Pulley Speed";"1850";"rpm";"46.5932246";"-72.8743179";
"66493.0380805";"Altitude (GPS)";"246.8";"m";"46.5933104";"-72.8743580";
"66493.0380805";"Average speed (GPS)";"39.20691672074185";"km/h";"46.5933104";"-72.8743580";
"66493.0380805";"Speed (GPS)";"35.92880000000001";"km/h";"46.5933104";"-72.8743580";
"66493.1198342";"Secondary Pulley Speed";"1423";"rpm";"46.5933104";"-72.8743580";
"66493.2102808";"Turbine Speed";"1792";"rpm";"46.5933104";"-72.8743580";
"66493.3009598";"Lock Up Duty Ratio";"65";"%";"46.5933104";"-72.8743580";
"66493.451875";"Engine coolant temperature";"89";"℃";"46.5933104";"-72.8743580";
"66493.5399028";"Engine oil temperature";"89";"℃";"46.5933104";"-72.8743580";
"66493.6300691";"Intake air temperature";"-6";"℃";"46.5933104";"-72.8743580";
"66493.7206907";"Barometric pressure";"98";"kPa";"46.5933104";"-72.8743580";
"66493.8703045";"Battery Terminal Voltage";"14.622";"V";"46.5933104";"-72.8743580";
"66494.0079815";"Altitude (GPS)";"246.7";"m";"46.5933830";"-72.8743925";
"66494.0079815";"Average speed (GPS)";"36.15465803537396";"km/h";"46.5933830";"-72.8743925";
"66494.0079815";"Speed (GPS)";"30.3728";"km/h";"46.5933830";"-72.8743925";
"66494.0204796";"AWD Solenoid Actual Current";"288";"mA";"46.5933830";"-72.8743925";
"66494.1082989";"AWD Solenoid Set Current";"289";"mA";"46.5933830";"-72.8743925";
"66494.2582833";"Short term fuel % trim - Bank 1";"0";"%";"46.5933830";"-72.8743925";
"66494.350369";"Long term fuel % trim - Bank 1";"1.5625";"%";"46.5933830";"-72.8743925";
"66494.5005837";"Knocking Correction";"0";"°";"46.5933830";"-72.8743925";
"66494.6513179";"Engine RPM";"1607";"rpm";"46.5933830";"-72.8743925";
"66494.6513179";"Engine RPM x1000";"1.6";"rpm";"46.5933830";"-72.8743925";
"66494.7406892";"Average speed";"25";"km/h";"46.5933830";"-72.8743925";
"66494.7406892";"Distance travelled";"0.021870654861111113";"km";"46.5933830";"-72.8743925";
"66494.7406892";"Distance travelled (Today)";"128.184645";"km";"46.5933830";"-72.8743925";
"66494.7406892";"Distance travelled (total)";"168.803217";"km";"46.5933830";"-72.8743925";
"66494.7406892";"Distance travelled (Week)";"150.606958";"km";"46.5933830";"-72.8743925";
"66494.7406892";"Vehicle acceleration";"0.00032384242319781996";"g";"46.5933830";"-72.8743925";
"66494.7406892";"Vehicle speed";"25";"km/h";"46.5933830";"-72.8743925";
"66494.831036";"Relative throttle position";"2.7450980392156863";"%";"46.5933830";"-72.8743925";
"66494.9200339";"Timing advance";"-10";"°";"46.5933830";"-72.8743925";
"66494.9834473";"Altitude (GPS)";"246.5";"m";"46.5934442";"-72.8744208";
"66494.9834473";"Average speed (GPS)";"33.51740802604764";"km/h";"46.5934442";"-72.8744208";
"66494.9834473";"Speed (GPS)";"25.928";"km/h";"46.5934442";"-72.8744208";
"66495.0094337";"Calculated engine load value";"0";"%";"46.5934442";"-72.8744208";
"66495.1001142";"MAF air flow rate";"3.87";"g/sec";"46.5934442";"-72.8744208";
"66495.1001142";"Power from MAF";"4.644";"hp";"46.5934442";"-72.8744208";
"66495.1912396";"Calculated boost";"-0.76";"bar";"46.5934442";"-72.8744208";
"66495.1912396";"Intake manifold absolute pressure";"22";"kPa";"46.5934442";"-72.8744208";
"66495.3403685";"Actual Gear Ratio";"1.6015869382772565";"";"46.5934442";"-72.8744208";
"66495.4314912";"Target Gear Ratio";"0.003906309605554284";"";"46.5934442";"-72.8744208";
"66495.5804282";"[ABS] Front left wheel speed";"19.9125";"km/h";"46.5934442";"-72.8744208";
"66495.6707399";"[ABS] Front right wheel speed";"19.575";"km/h";"46.5934442";"-72.8744208";
"66495.79338";"[ABS] Rear left wheel speed";"19.29375";"km/h";"46.5934442";"-72.8744208";
"66495.8806156";"[ABS] Rear right wheel speed";"19.0125";"km/h";"46.5934442";"-72.8744208";
"66495.9755823";"Altitude (GPS)";"246.4";"m";"46.5934952";"-72.8744443";
"66495.9755823";"Average speed (GPS)";"30.86292181572191";"km/h";"46.5934952";"-72.8744443";
"66495.9755823";"Speed (GPS)";"20.7424";"km/h";"46.5934952";"-72.8744443";
"66495.976953";"[ABS] Steering angle sensor";"2";"°";"46.5934952";"-72.8744443";
"66496.1202537";"AT/CVT Temperature v.1";"78";"℃";"46.5934952";"-72.8744443";
"66496.2113493";"Primary Pulley Speed";"1370";"rpm";"46.5934952";"-72.8744443";
"66496.3010891";"Secondary Pulley Speed";"782";"rpm";"46.5934952";"-72.8744443";
"66496.3913326";"Turbine Speed";"1280";"rpm";"46.5934952";"-72.8744443";
"66496.4804547";"Lock Up Duty Ratio";"0";"%";"46.5934952";"-72.8744443";
"66496.6306843";"Engine oil temperature";"89";"℃";"46.5934952";"-72.8744443";
"66496.7202944";"Intake air temperature";"-6";"℃";"46.5934952";"-72.8744443";
"66496.8109342";"Barometric pressure";"98";"kPa";"46.5934952";"-72.8744443";
"66496.9629628";"Battery Terminal Voltage";"14.611";"V";"46.5934952";"-72.8744443";
"66497.0722864";"Altitude (GPS)";"246.3";"m";"46.5935360";"-72.8744631";
"66497.0722864";"Average speed (GPS)";"28.280720404807695";"km/h";"46.5935360";"-72.8744631";
"66497.0722864";"Speed (GPS)";"17.0384";"km/h";"46.5935360";"-72.8744631";
"66497.1111828";"AWD Solenoid Actual Current";"288";"mA";"46.5935360";"-72.8744631";
"66497.2000978";"AWD Solenoid Set Current";"289";"mA";"46.5935360";"-72.8744631";
"66497.3501299";"Short term fuel % trim - Bank 1";"-2.34375";"%";"46.5935360";"-72.8744631";
"66497.4408424";"Long term fuel % trim - Bank 1";"1.5625";"%";"46.5935360";"-72.8744631";
"66497.5995962";"Knocking Correction";"0";"°";"46.5935360";"-72.8744631";
"66497.7180135";"Engine RPM";"1129";"rpm";"46.5935360";"-72.8744631";
"66497.7180135";"Engine RPM x1000";"1.1";"rpm";"46.5935360";"-72.8744631";
"66497.7789834";"Average speed";"19.105041632298118";"km/h";"46.5935360";"-72.8744631";
"66497.7789834";"Distance travelled";"0.03285204302777778";"km";"46.5935360";"-72.8744631";
"66497.7789834";"Distance travelled (Today)";"128.195626";"km";"46.5935360";"-72.8744631";
"66497.7789834";"Distance travelled (total)";"168.814198";"km";"46.5935360";"-72.8744631";
"66497.7789834";"Distance travelled (Week)";"150.617939";"km";"46.5935360";"-72.8744631";
"66497.7789834";"Vehicle acceleration";"0.0003714279963563907";"g";"46.5935360";"-72.8744631";
"66497.7789834";"Vehicle speed";"13";"km/h";"46.5935360";"-72.8744631";
"66497.8387316";"Relative throttle position";"2.7450980392156863";"%";"46.5935360";"-72.8744631";
"66497.8991519";"Timing advance";"3";"°";"46.5935360";"-72.8744631";
"66497.9581083";"Calculated engine load value";"21.96078431372549";"%";"46.5935360";"-72.8744631";
"66498.0189765";"MAF air flow rate";"4.3100000000000005";"g/sec";"46.5935360";"-72.8744631";
"66498.0189765";"Power from MAF";"5.172000000000001";"hp";"46.5935360";"-72.8744631";
"66498.0425864";"Altitude (GPS)";"246.2";"m";"46.5935700";"-72.8744788";
"66498.0425864";"Average speed (GPS)";"26.26609738830333";"km/h";"46.5935700";"-72.8744788";
"66498.0425864";"Speed (GPS)";"14.075200000000002";"km/h";"46.5935700";"-72.8744788";
"66498.0778674";"Calculated boost";"-0.75";"bar";"46.5935700";"-72.8744788";
"66498.0778674";"Intake manifold absolute pressure";"23";"kPa";"46.5935700";"-72.8744788";
"66498.1990845";"Actual Gear Ratio";"2.0586251621271074";"";"46.5935700";"-72.8744788";
"66498.2581295";"Target Gear Ratio";"0.007812619211108568";"";"46.5935700";"-72.8744788";
"66498.379236";"[ABS] Front left wheel speed";"10.8";"km/h";"46.5935700";"-72.8744788";
"66498.4388165";"[ABS] Front right wheel speed";"10.51875";"km/h";"46.5935700";"-72.8744788";
"66498.4991695";"[ABS] Rear left wheel speed";"10.2375";"km/h";"46.5935700";"-72.8744788";
"66498.5586916";"[ABS] Rear right wheel speed";"10.0125";"km/h";"46.5935700";"-72.8744788";
"66498.6188917";"[ABS] Steering angle sensor";"1";"°";"46.5935700";"-72.8744788";
"66498.738957";"AT/CVT Temperature v.1";"78";"℃";"46.5935700";"-72.8744788";
"66498.799091";"Primary Pulley Speed";"906";"rpm";"46.5935700";"-72.8744788";
"66498.8589114";"Secondary Pulley Speed";"380";"rpm";"46.5935700";"-72.8744788";
"66498.918581";"Turbine Speed";"864";"rpm";"46.5935700";"-72.8744788";
"66498.9785428";"Lock Up Duty Ratio";"0";"%";"46.5935700";"-72.8744788";
"66499.0183981";"Altitude (GPS)";"246.1";"m";"46.5935955";"-72.8744905";
"66499.0183981";"Average speed (GPS)";"24.328288855616073";"km/h";"46.5935955";"-72.8744905";
"66499.0183981";"Speed (GPS)";"10.741600000000002";"km/h";"46.5935955";"-72.8744905";
"66499.1196436";"Engine coolant temperature";"89";"℃";"46.5935955";"-72.8744905";
"66499.1888613";"Engine oil temperature";"88";"℃";"46.5935955";"-72.8744905";
"66499.2521054";"Intake air temperature";"-6";"℃";"46.5935955";"-72.8744905";
"66499.3389763";"Barometric pressure";"98";"kPa";"46.5935955";"-72.8744905";
"66499.4583804";"Battery Terminal Voltage";"14.585";"V";"46.5935955";"-72.8744905";
"66499.5787504";"AWD Solenoid Actual Current";"298";"mA";"46.5935955";"-72.8744905";
"66499.6387112";"AWD Solenoid Set Current";"299";"mA";"46.5935955";"-72.8744905";
"66499.7585344";"Short term fuel % trim - Bank 1";"-0.78125";"%";"46.5935955";"-72.8744905";
"66499.8191511";"Long term fuel % trim - Bank 1";"1.5625";"%";"46.5935955";"-72.8744905";
"66499.9382887";"Knocking Correction";"0";"°";"46.5935955";"-72.8744905";
"66499.9963651";"Altitude (GPS)";"246";"m";"46.5936107";"-72.8744976";
"66499.9963651";"Average speed (GPS)";"22.30279404499081";"km/h";"46.5936107";"-72.8744976";
"66499.9963651";"Speed (GPS)";"6.111600000000001";"km/h";"46.5936107";"-72.8744976";
"66500.0581822";"Engine RPM";"753";"rpm";"46.5936107";"-72.8744976";
"66500.0581822";"Engine RPM x1000";"0.8";"rpm";"46.5936107";"-72.8744976";
"66500.1187574";"Average speed";"14.965154137775295";"km/h";"46.5936107";"-72.8744976";
"66500.1187574";"Distance travelled";"0.035448900916666665";"km";"46.5936107";"-72.8744976";
"66500.1187574";"Distance travelled (Today)";"128.198223";"km";"46.5936107";"-72.8744976";
"66500.1187574";"Distance travelled (total)";"168.816795";"km";"46.5936107";"-72.8744976";
"66500.1187574";"Distance travelled (Week)";"150.62053600000002";"km";"46.5936107";"-72.8744976";
"66500.1187574";"Vehicle acceleration";"0.0004060259854635244";"g";"46.5936107";"-72.8744976";
"66500.1187574";"Vehicle speed";"4";"km/h";"46.5936107";"-72.8744976";
"66500.1788438";"Relative throttle position";"2.7450980392156863";"%";"46.5936107";"-72.8744976";
"66500.2386416";"Timing advance";"2.5";"°";"46.5936107";"-72.8744976";
"66500.2986226";"Calculated engine load value";"27.058823529411764";"%";"46.5936107";"-72.8744976";
"66500.358778";"MAF air flow rate";"4.44";"g/sec";"46.5936107";"-72.8744976";
"66500.358778";"Power from MAF";"5.328";"hp";"46.5936107";"-72.8744976";
"66500.4188625";"Calculated boost";"-0.65";"bar";"46.5936107";"-72.8744976";
"66500.4188625";"Intake manifold absolute pressure";"33";"kPa";"46.5936107";"-72.8744976";
"66500.5389302";"Actual Gear Ratio";"2.722697795071336";"";"46.5936107";"-72.8744976";
"66500.5986181";"Target Gear Ratio";"0.007812619211108568";"";"46.5936107";"-72.8744976";
"66500.718681";"[ABS] Front left wheel speed";"1.85625";"km/h";"46.5936107";"-72.8744976";
"66500.779078";"[ABS] Front right wheel speed";"1.74375";"km/h";"46.5936107";"-72.8744976";
"66500.83844";"[ABS] Rear left wheel speed";"1.63125";"km/h";"46.5936107";"-72.8744976";
"66500.8981872";"[ABS] Rear right wheel speed";"1.51875";"km/h";"46.5936107";"-72.8744976";
"66500.9616545";"[ABS] Steering angle sensor";"1";"°";"46.5936107";"-72.8744976";
"66500.9858354";"Average speed (GPS)";"20.347160144945093";"km/h";"46.5936158";"-72.8745000";
"66500.9858354";"Speed (GPS)";"2.9632000000000005";"km/h";"46.5936158";"-72.8745000";
"66501.0787497";"AT/CVT Temperature v.1";"78";"℃";"46.5936158";"-72.8745000";
"66501.1387771";"Primary Pulley Speed";"139";"rpm";"46.5936158";"-72.8745000";
"66501.1981454";"Secondary Pulley Speed";"50";"rpm";"46.5936158";"-72.8745000";
"66501.2585685";"Turbine Speed";"128";"rpm";"46.5936158";"-72.8745000";
"66501.3188477";"Lock Up Duty Ratio";"0";"%";"46.5936158";"-72.8745000";
"66501.4388086";"Engine oil temperature";"88";"℃";"46.5936158";"-72.8745000";
"66501.4984667";"Intake air temperature";"-6";"℃";"46.5936158";"-72.8745000";
"66501.5588917";"Barometric pressure";"98";"kPa";"46.5936158";"-72.8745000";
"66501.6786359";"Battery Terminal Voltage";"14.594";"V";"46.5936158";"-72.8745000";
"66501.7992899";"AWD Solenoid Actual Current";"384";"mA";"46.5936158";"-72.8745000";
"66501.8589603";"AWD Solenoid Set Current";"380";"mA";"46.5936158";"-72.8745000";
"66501.9628156";"Average speed (GPS)";"18.60091075812781";"km/h";"46.5936192";"-72.8745017";
"66501.9628156";"Speed (GPS)";"1.1112";"km/h";"46.5936192";"-72.8745017";
"66501.9786345";"Short term fuel % trim - Bank 1";"-5.46875";"%";"46.5936192";"-72.8745017";
"66502.0390591";"Long term fuel % trim - Bank 1";"1.5625";"%";"46.5936192";"-72.8745017";
"66502.1590352";"Knocking Correction";"0";"°";"46.5936192";"-72.8745017";
"66502.2775746";"Engine RPM";"788";"rpm";"46.5936192";"-72.8745017";
"66502.2775746";"Engine RPM x1000";"0.8";"rpm";"46.5936192";"-72.8745017";
"66502.3389991";"Average speed";"12.287045352165212";"km/h";"46.5936192";"-72.8745017";
"66502.3389991";"Distance travelled";"0.03668225886111111";"km";"46.5936192";"-72.8745017";
"66502.3389991";"Distance travelled (Today)";"128.199456";"km";"46.5936192";"-72.8745017";
"66502.3389991";"Distance travelled (total)";"168.818028";"km";"46.5936192";"-72.8745017";
"66502.3389991";"Distance travelled (Week)";"150.621769";"km";"46.5936192";"-72.8745017";
"66502.3389991";"Vehicle acceleration";"-0.10804489650340506";"g";"46.5936192";"-72.8745017";
